Players,Opening,Result,Moves,Year
Paul Morphy (2690) Brian Thomas Jefferson,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, Slow Variation, Lasker Defense
                          ",1-0,23,1859
Paul Morphy (2690) Mongredien O,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense, Main Line
                          ",1-0,24,1859
Paul Morphy (2690) Mongredien O,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 Italian Game: Knight Attack, Polerio, Kieseritzky Variation, 6...h6 7.Nf3
                          ",1-0,29,1859
Paul Morphy (2690) Mongredien O,"1. e4 e5 2. Nf3 d5 3. exd5 e4 King's Pawn Opening: King's Knight, Elephant, Paulsen Countergambit
                          ",1-0,22,1859
Paul Morphy (2690) Mongredien O,"1. e4 e5 2. Nf3 d6 3. d4 exd4 Philidor Defense: Exchange Variation, 4.Qxd4
                          ",1-0,30,1859
Paul Morphy (2690) Amateur,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 Italian Game: Two Knights, Scotch Gambit, Anderssen Attack
                          ",1-0,24,1859
Paul Morphy (2690) Budzinsky J,"1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 Petrov's Defense: Classical Attack, Jaenisch Variation
                          ",1-0,24,1859
Paul Morphy (2690) Jules Arnous de Riviere (2450),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense, Main Line
                          ",1-0,29,1859
Paul Morphy (2690) Journoud P,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans, Hein Countergambit
                          ",1-0,33,1859
Paul Morphy (2690) Laroche,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, Laroche Variation
                          ",1-0,13,1859
Paul Morphy (2690) Samuel Lewis,"1. e4 b6 2. d4 Bb7 3. Bd3 e6 King's Pawn Opening: Owen's Defense, 2.d4 Bb7 3.Bd3
                          ",1-0,25,1859
Paul Morphy (2690) Smyth B,"1. e4 e6 2. d4 d5 3. exd5 exd5 French Defense: Exchange Variation, 3...exd5 4.Nf3
                          ",1-0,33,1859
Paul Morphy (2690) Thomas,"1. e4 e5 2. Nf3 Nc6 3. Bc4 d6 Italian Game
                          ",1-0,33,1859
Paul Morphy (2690) Tilghman,"1. e4 e5 2. f4 exf4 3. Nf3 g5 King's Gambit Accepted: King's Knight Gambit, 3...g5 4.Bc4 d6
                          ",1-0,24,1859
Paul Morphy (2690) Anonymous,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense, Morphy Attack, 9...Bg4
                          ",1-0,23,1859
Paul Morphy (2690) Jules Arnous de Riviere (2450),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense, Morphy Attack
                          ",1-0,24,1863
Paul Morphy (2690) Jules Arnous de Riviere (2450),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense, Morphy Attack, 9...Bg4
                          ",1-0,40,1863
Paul Morphy (2690) Jules Arnous de Riviere (2450),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Closed, Center Holding Variation, 6.O-O
                          ",1-0,35,1863
Paul Morphy (2690) Jules Arnous de Riviere (2450),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 Italian Game: Two Knights, Scotch Gambit, de Rivière Defense
                          ",1-0,26,1863
Paul Morphy (2690) Domingues,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 Italian Game: Max Lange Attack, 6.e5
                          ",1-0,20,1864
Paul Morphy (2690) Celso Golmayo y Zupide (2380),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense, Morphy Attack
                          ",1-0,29,1864
Paul Morphy (2690) Sicre J M,"1. e4 e5 2. Nf3 d6 3. d4 exd4 Philidor Defense: Exchange, Morphy Gambit
                          ",1-0,21,1864
Paul Morphy (2690) Capdevielle,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense
                          ",1-0,36,1864
Paul Morphy (2690) Adolf Anderssen (2600),"1. e4 e5 2. f4 exf4 3. Nf3 g5 King's Gambit Accepted: Traditional, Hanstein Gambit
                          ",1-0,19,0
Paul Morphy (2690) Adolf Anderssen (2600),"1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 Scandinavian Defense: Modern, Marshall, Tomalty Gambit, Center Counter Variation
                          ",1-0,54,1858
Paul Morphy (2690) Adolf Anderssen (2600),"1. e4 e6 2. d4 g6 3. Bd3 Bg7 French Defense: Normal Variation
                          ",1-0,36,1858
Paul Morphy (2690) Johann Lowenthal (2510),"1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 Petrov's Defense: Classical, Cozio Attack, 5...Qe7 6.d3 Nf6
                          ",1-0,55,0
Paul Morphy (2690) Johann Lowenthal (2510),"1. e4 e5 2. f4 Bc5 3. Nf3 d6 King's Gambit Declined: Classical Variation, 3.Nf3 d6 4.c3 Bg4
                          ",1-0,28,1858
